pedido_id,dia,hub_origen,destino,ruta,asignados,pendientes,fitness
0000086,17,UBBB,OYSN,"[com.morapack.ga.Vuelo@cac736f]",110,0,3.1272
0000088,17,UBBB,OJAI,"[com.morapack.ga.Vuelo@6996db8]",168,0,1.0564
0000090,17,SPIM,SVMI,"[com.morapack.ga.Vuelo@5e265ba4]",169,0,3.8339
0000087,17,UBBB,OMDB,"[com.morapack.ga.Vuelo@156643d4]",167,0,1.7155
0000094,18,SPIM,SLLP,"[com.morapack.ga.Vuelo@123a439b]",171,0,2.1269
0000091,18,SPIM,SKBO,"[com.morapack.ga.Vuelo@7de26db8]",169,0,1.5402
0000093,18,SPIM,SBBR,"[com.morapack.ga.Vuelo@1175e2db]",170,0,4.4645
0000095,18,SPIM,SCEL,"[com.morapack.ga.Vuelo@36aa7bc2]",171,0,2.7855
0000092,18,SPIM,SEQM,"[com.morapack.ga.Vuelo@41975e01]",170,0,2.2306
0000097,19,SPIM,SGAS,"[com.morapack.ga.Vuelo@41975e01]",25,147,2.2306
0000097,19,SPIM,SGAS,"[com.morapack.ga.Vuelo@76ccd017]",147,0,3.6129
0000099,19,EBCI,LATI,"[com.morapack.ga.Vuelo@182decdb]",173,0,2.2465
0000096,19,SPIM,SABE,"[com.morapack.ga.Vuelo@26f0a63f]",172,0,3.3208
0000098,19,SPIM,SUAA,"[com.morapack.ga.Vuelo@4cdf35a9]",158,15,4.5531
0000098,19,SPIM,SUAA,"[com.morapack.ga.Vuelo@aec6354]",15,0,2.9941
0000100,19,EBCI,EDDI,"[com.morapack.ga.Vuelo@4361bd48]",174,0,1.3455
0000102,20,EBCI,LKPR,"[com.morapack.ga.Vuelo@1eb44e46]",168,7,1.3858
0000102,20,EBCI,LKPR,"[com.morapack.ga.Vuelo@53bd815b]",7,0,1.3858
0000104,20,EBCI,EKCH,"[com.morapack.ga.Vuelo@15615099]",44,132,1.4763
0000104,20,EBCI,EKCH,"[com.morapack.ga.Vuelo@2401f4c3]",132,0,1.4763
0000101,20,EBCI,LOWW,"[com.morapack.ga.Vuelo@28ba21f3]",87,87,1.6042
0000101,20,EBCI,LOWW,"[com.morapack.ga.Vuelo@7637f22]",87,0,1.7320
0000103,20,EBCI,LDZA,"[com.morapack.ga.Vuelo@5e91993f]",175,0,1.0599
0000105,20,EBCI,EHAM,"[com.morapack.ga.Vuelo@5e91993f]",114,62,1.0599
0000105,20,EBCI,EHAM,"[com.morapack.ga.Vuelo@4926097b]",62,0,1.0599
0000107,21,UBBB,OSDI,"[com.morapack.ga.Vuelo@762efe5d]",177,0,2.2393
0000109,21,UBBB,OOMS,"[com.morapack.ga.Vuelo@379619aa]",154,24,1.2095
0000109,21,UBBB,OOMS,"[com.morapack.ga.Vuelo@5d22bbb7]",24,0,2.4997
0000106,21,UBBB,VIDP,"[com.morapack.ga.Vuelo@41a4555e]",177,0,3.1112
0000108,21,UBBB,OERK,"[com.morapack.ga.Vuelo@368102c8]",178,0,2.6535
0000110,21,UBBB,OYSN,"[com.morapack.ga.Vuelo@3830f1c0]",179,0,2.8844
0000112,22,UBBB,OJAI,"[com.morapack.ga.Vuelo@6996db8]",180,0,1.0564
0000114,22,SPIM,SVMI,"[com.morapack.ga.Vuelo@39ed3c8d]",181,0,2.7592
0000111,22,UBBB,OMDB,"[com.morapack.ga.Vuelo@156643d4]",153,26,1.7155
0000111,22,UBBB,OMDB,"[com.morapack.ga.Vuelo@aec6354]",26,0,2.9941
0000113,22,EBCI,UMMS,"[com.morapack.ga.Vuelo@48533e64]",13,167,2.7141
0000113,22,EBCI,UMMS,"[com.morapack.ga.Vuelo@71dac704]",167,0,2.7141
0000115,22,SPIM,SKBO,"[com.morapack.ga.Vuelo@123772c4]",181,0,2.7592
0000117,23,SPIM,SBBR,"[com.morapack.ga.Vuelo@123a439b]",149,33,2.1269
0000117,23,SPIM,SBBR,"[com.morapack.ga.Vuelo@2d363fb3]",33,0,3.1679
0000119,23,SPIM,SCEL,"[com.morapack.ga.Vuelo@45fe3ee3]",42,141,3.5362
0000119,23,SPIM,SCEL,"[com.morapack.ga.Vuelo@7d6f77cc]",141,0,3.7129
