gen,best,avg,worst,feasible,mutationRate,diversityIndex,p95Transit,p95Wait,p95Cost,maxHopsRef
13,2.8800598716930517,2.8947818973669275,4.057821925603252,1.0,0.063,0.024842767295597486,1315.75,1368.0,1035.2375000000002,8
14,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.063,0.0,1315.75,1368.0,1035.2375000000002,8
15,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.063,0.0,1315.75,1368.0,1035.2375000000002,8
16,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.063,0.0,1315.75,1368.0,1035.2375000000002,8
17,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.063,0.0,1315.75,1368.0,1035.2375000000002,8
18,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.063,0.0,1315.75,1368.0,1035.2375000000002,8
19,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.063,0.0,1315.75,1368.0,1035.2375000000002,8
20,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.063,0.0,1315.75,1368.0,1035.2375000000002,8
21,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.063,0.0,1315.75,1368.0,1035.2375000000002,8
22,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.063,0.0,1315.75,1368.0,1035.2375000000002,8
23,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.0945,0.0,1315.75,1368.0,1035.2375000000002,8
24,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.0945,0.0,1315.75,1368.0,1035.2375000000002,8
25,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.0945,0.0,1315.75,1368.0,1035.2375000000002,8
26,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.0945,0.0,1315.75,1368.0,1035.2375000000002,8
27,2.8800598716930517,2.88005987169305,2.8800598716930517,1.0,0.0945,0.0,1315.75,1368.0,1035.2375000000002,8
1,1.8863112449496198,22.14709632538479,87.87472150076587,1.0,0.06,0.3427815894797139,1315.75,1368.0,1035.2375000000002,8
2,1.8863112449496198,10.027231749116206,58.94101415424552,1.0,0.06,0.35250262054506837,1315.75,1368.0,1035.2375000000002,8
3,1.8863112449496198,3.8727417052652777,31.843325052335146,1.0,0.06,0.13296645702306342,1315.75,1368.0,1035.2375000000002,8
4,1.8863112449496198,2.6425824712296797,2.7140684678808524,1.0,0.06,0.260062893081761,1315.75,1368.0,1035.2375000000002,8
5,1.8863112449496198,2.519361648145307,2.7140684678808524,1.0,0.06,0.4252358490566038,1315.75,1368.0,1035.2375000000002,8
6,1.8863112449496198,2.3340590333410933,2.7140684678808524,1.0,0.06,0.5492138364779874,1315.75,1368.0,1035.2375000000002,8
7,1.8863112449496198,2.1097137589677013,2.7140684678808524,1.0,0.06,0.4252358490566038,1315.75,1368.0,1035.2375000000002,8
8,1.8863112449496198,1.938046071382822,2.7140684678808524,1.0,0.06,0.11863207547169811,1315.75,1368.0,1035.2375000000002,8
9,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.06,0.0,1315.75,1368.0,1035.2375000000002,8
10,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.06,0.0,1315.75,1368.0,1035.2375000000002,8
11,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
12,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
13,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
14,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
15,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
16,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
17,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
18,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
19,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
20,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
21,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.135,0.0,1315.75,1368.0,1035.2375000000002,8
22,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.135,0.0,1315.75,1368.0,1035.2375000000002,8
23,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.135,0.0,1315.75,1368.0,1035.2375000000002,8
24,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.135,0.0,1315.75,1368.0,1035.2375000000002,8
25,1.8863112449496198,1.8863112449496193,1.8863112449496198,1.0,0.135,0.0,1315.75,1368.0,1035.2375000000002,8
1,2.7592079801741094,19.30032445069266,82.61067952744844,1.0,0.06,0.38013626834381065,1315.75,1368.0,1035.2375000000002,8
2,2.7592079801741094,10.104598055481409,47.794323802694194,1.0,0.06,0.3476284067085903,1315.75,1368.0,1035.2375000000002,8
3,2.7592079801741094,4.096353683887953,24.269426971657964,1.0,0.06,0.1675314465408805,1315.75,1368.0,1035.2375000000002,8
4,2.7592079801741094,2.9327211260901387,17.814557303380905,1.0,0.06,0.056937893081761004,1315.75,1368.0,1035.2375000000002,8
5,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.06,0.08514150943396226,1315.75,1368.0,1035.2375000000002,8
6,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.06,0.07303459119496855,1315.75,1368.0,1035.2375000000002,8
7,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.06,0.06092767295597484,1315.75,1368.0,1035.2375000000002,8
8,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.06,0.10683962264150944,1315.75,1368.0,1035.2375000000002,8
9,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.06,0.08419811320754716,1315.75,1368.0,1035.2375000000002,8
10,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.06,0.12885220125786165,1315.75,1368.0,1035.2375000000002,8
11,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.09,0.07264150943396226,1315.75,1368.0,1035.2375000000002,8
12,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.09,0.06092767295597484,1315.75,1368.0,1035.2375000000002,8
13,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.09,0.024842767295597486,1315.75,1368.0,1035.2375000000002,8
14,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.09,0.024842767295597486,1315.75,1368.0,1035.2375000000002,8
15,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
16,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
17,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
18,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
19,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
20,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
21,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.135,0.0125,1315.75,1368.0,1035.2375000000002,8
22,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.135,0.024842767295597486,1315.75,1368.0,1035.2375000000002,8
23,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.135,0.06092767295597484,1315.75,1368.0,1035.2375000000002,8
24,2.7592079801741094,2.759207980174101,2.7592079801741094,1.0,0.135,0.04905660377358491,1315.75,1368.0,1035.2375000000002,8
25,2.450082411723903,4.348070467463744,32.7621441376772,1.0,0.135,0.1360534591195027,1315.75,1368.0,1035.2375000000002,8
26,2.450082411723903,2.7476157713572182,2.7592079801741094,1.0,0.0945,0.12393867924528301,1315.75,1368.0,1035.2375000000002,8
27,2.450082411723903,2.736023562540335,2.7592079801741094,1.0,0.0945,0.1731132075471698,1315.75,1368.0,1035.2375000000002,8
28,2.450082411723903,2.71283914490657,2.7592079801741094,1.0,0.0945,0.2920990566037736,1315.75,1368.0,1035.2375000000002,8
29,2.450082411723903,2.6877226924699906,2.7592079801741094,1.0,0.0945,0.3939465408805031,1315.75,1368.0,1035.2375000000002,8
30,2.450082411723903,2.6374897875968335,2.7592079801741094,1.0,0.0945,0.49504716981132074,1315.75,1368.0,1035.2375000000002,8
31,2.450082411723903,2.558276360681469,2.7592079801741094,1.0,0.0945,0.46002358490566037,1315.75,1368.0,1035.2375000000002,8
32,2.450082411723903,2.4887231077801735,2.7592079801741094,1.0,0.0945,0.22087264150943398,1315.75,1368.0,1035.2375000000002,8
33,2.450082411723903,2.453946481329526,2.7592079801741094,1.0,0.0945,0.024842767295597486,1315.75,1368.0,1035.2375000000002,8
34,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.0945,0.0,1315.75,1368.0,1035.2375000000002,8
35,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.0945,0.0,1315.75,1368.0,1035.2375000000002,8
36,2.450082411723903,2.5387348682870283,16.634475461824632,1.0,0.14175,0.0125,1315.75,1368.0,1035.2375000000002,8
